Season	Location	Variety	Disease Response
2019	Bungoma, Kenya	CLARK-63K	Susceptible
2019	Bungoma, Kenya	FAVOUR	Susceptible
2019	Bungoma, Kenya	Gazelle	Susceptible
2019	Bungoma, Kenya	Kafue	Susceptible
2019	Bungoma, Kenya	NYALA	Susceptible
2019	Bungoma, Kenya	Panorama 1	Susceptible
2019	Bungoma, Kenya	Panorama 2	Susceptible
2019	Bungoma, Kenya	PANORAMA 29 I	Susceptible
2019	Bungoma, Kenya	PANORAMA 3	Susceptible
2019	Bungoma, Kenya	S1079/6/7	Susceptible
2019	Bungoma, Kenya	S1140/5/4	Susceptible
2019	Bungoma, Kenya	S1150/5/22	Susceptible
2019	Bungoma, Kenya	S1180/5/54	Susceptible
2019	Bungoma, Kenya	SAFARI	Susceptible
2019	Bungoma, Kenya	SC SAGA	Susceptible
2019	Bungoma, Kenya	SC SAXON	Susceptible
2019	Bungoma, Kenya	SC SENTINEL	Susceptible
2019	Bungoma, Kenya	SC SERENADE	Susceptible
2019	Bungoma, Kenya	SC SIGNAL	Susceptible
2019	Bungoma, Kenya	SC SPIKE	Susceptible
2019	Bungoma, Kenya	SC SQUIRE	Susceptible
2019	Bungoma, Kenya	SC STATUS	Susceptible
2019	Bungoma, Kenya	SCS-1	Resistant
2019	Bungoma, Kenya	SNK500	Susceptible
2019	Bungoma, Kenya	TGX 2001-6FM	Susceptible
2019	Bungoma, Kenya	TGX 2001-8DM	Susceptible
2019	Bungoma, Kenya	TGX 2002-3DM	Susceptible
2019	Bungoma, Kenya	TGX 2014-16FM	Susceptible
2019	Bungoma, Kenya	TGX 2014-23FM	Susceptible
2019	Bungoma, Kenya	TGX 2014-5GM	Susceptible
2018/2019	Chipata, Zambia	CLARK-63K	Susceptible
2018/2019	Chipata, Zambia	Dundee	Susceptible
2018/2019	Chipata, Zambia	Egret	Susceptible
2018/2019	Chipata, Zambia	Heron	Susceptible
2018/2019	Chipata, Zambia	IBIS 2000	Susceptible
2018/2019	Chipata, Zambia	KALEYA	Susceptible
2018/2019	Chipata, Zambia	Lukanga	Susceptible
2018/2019	Chipata, Zambia	MAKSOY 5N	Resistant
2018/2019	Chipata, Zambia	MAKWACHA	Susceptible
2018/2019	Chipata, Zambia	NASOKO	Susceptible
2018/2019	Chipata, Zambia	PANORAMA 29 I	Susceptible
2018/2019	Chipata, Zambia	PANORAMA 3	Susceptible
2018/2019	Chipata, Zambia	PANORAMA 358	Susceptible
2018/2019	Chipata, Zambia	S1079/6/7	Susceptible
2018/2019	Chipata, Zambia	S1140/5/4	Susceptible
2018/2019	Chipata, Zambia	S1146/5/25	Resistant
2018/2019	Chipata, Zambia	S1150/5/22	Susceptible
2018/2019	Chipata, Zambia	S1180/5/54	Resistant
2018/2019	Chipata, Zambia	S1187/5/37	Susceptible
2018/2019	Chipata, Zambia	SC SAGA	Resistant
2018/2019	Chipata, Zambia	SC SENTINEL	Resistant
2018/2019	Chipata, Zambia	SC SIGNAL	Resistant
2018/2019	Chipata, Zambia	SC SPIKE	Susceptible
2018/2019	Chipata, Zambia	SNK500	Susceptible
2018/2019	Chipata, Zambia	TGX 1987-62F	Susceptible
2018/2019	Chipata, Zambia	TGX 1991-22F	Susceptible
2018/2019	Chipata, Zambia	TGX 2014-16FM	Susceptible
2018/2019	Chipata, Zambia	TIKOLORE	Susceptible
2019/2020	Chitedze, Malawi	Gazelle	Susceptible
2019/2020	Chitedze, Malawi	KALEYA	Susceptible
2019/2020	Chitedze, Malawi	Lukanga	Susceptible
2019/2020	Chitedze, Malawi	MAKSOY 5N	Resistant
2019/2020	Chitedze, Malawi	MAKWACHA	Susceptible
2019/2020	Chitedze, Malawi	NASOKO	Susceptible
